Image Index,Detector,Descriptor,detector time,descriptor time
0,Shi-Tomasi,BRISK,11.22,1.49
1,Shi-Tomasi,BRISK,10.07,1.37
2,Shi-Tomasi,BRISK,10.47,1.61
3,Shi-Tomasi,BRISK,10.36,1.4
4,Shi-Tomasi,BRISK,10.45,1.39
5,Shi-Tomasi,BRISK,10.35,1.34
6,Shi-Tomasi,BRISK,10.04,1.36
7,Shi-Tomasi,BRISK,10.25,1.41
8,Shi-Tomasi,BRISK,10.5,1.32
9,Shi-Tomasi,BRISK,10.43,1.33
0,Shi-Tomasi,BRIEF,12.1,0.9
1,Shi-Tomasi,BRIEF,10.3,0.84
2,Shi-Tomasi,BRIEF,10.3,0.9
3,Shi-Tomasi,BRIEF,10.3,0.84
4,Shi-Tomasi,BRIEF,10.2,0.8
5,Shi-Tomasi,BRIEF,10.03,0.77
6,Shi-Tomasi,BRIEF,10.12,0.77
7,Shi-Tomasi,BRIEF,10.19,0.78
8,Shi-Tomasi,BRIEF,10.5,0.76
9,Shi-Tomasi,BRIEF,10.15,0.77
0,Shi-Tomasi,ORB,11.35,2.6
1,Shi-Tomasi,ORB,10.04,2.7
2,Shi-Tomasi,ORB,10.65,2.9
3,Shi-Tomasi,ORB,10.69,2.54
4,Shi-Tomasi,ORB,10.99,2.66
5,Shi-Tomasi,ORB,10.27,2.6
6,Shi-Tomasi,ORB,10.39,2.59
7,Shi-Tomasi,ORB,10.18,2.61
8,Shi-Tomasi,ORB,10.52,2.58
9,Shi-Tomasi,ORB,10.43,2.6
0,Shi-Tomasi,FREAK,17.57,30
1,Shi-Tomasi,FREAK,10.3,26
2,Shi-Tomasi,FREAK,7.9,27
3,Shi-Tomasi,FREAK,7.81,27.1
4,Shi-Tomasi,FREAK,7.82,27.2
5,Shi-Tomasi,FREAK,7.5,27.09
6,Shi-Tomasi,FREAK,7.56,27.05
7,Shi-Tomasi,FREAK,7.98,26.86
8,Shi-Tomasi,FREAK,7.55,26.88
9,Shi-Tomasi,FREAK,7.68,26.8
0,Shi-Tomasi,SIFT,11.68,8.33
1,Shi-Tomasi,SIFT,8.35,13.2
2,Shi-Tomasi,SIFT,10.67,12.49
3,Shi-Tomasi,SIFT,10.87,12.89
4,Shi-Tomasi,SIFT,10.62,12.68
5,Shi-Tomasi,SIFT,10.51,12.432
6,Shi-Tomasi,SIFT,10.65,12.73
7,Shi-Tomasi,SIFT,10.46,12.7
8,Shi-Tomasi,SIFT,10.53,12.77
9,Shi-Tomasi,SIFT,10.58,12.63
0,Harris,BRISK,18.44,0.34
1,Harris,BRISK,11.03,0.74
2,Harris,BRISK,10.9,0.73
3,Harris,BRISK,12.38,0.77
4,Harris,BRISK,11.12,0.87
5,Harris,BRISK,18.6,0.92
6,Harris,BRISK,10.19,0.75
7,Harris,BRISK,11.55,0.84
8,Harris,BRISK,11.21,0.822
9,Harris,BRISK,13.82,0.84
0,Harris,BRIEF,18.5,0.31
1,Harris,BRIEF,14.1,0.62
2,Harris,BRIEF,11.28,0.86
3,Harris,BRIEF,10.32,0.64
4,Harris,BRIEF,11.03,0.6
5,Harris,BRIEF,19.59,0.7
6,Harris,BRIEF,10.15,0.66
7,Harris,BRIEF,11.7,0.63
8,Harris,BRIEF,11.85,0.69
9,Harris,BRIEF,14.4,0.62
0,Harris,ORB,19.2,3.95
1,Harris,ORB,12.9,2.55
2,Harris,ORB,11.27,2.5
3,Harris,ORB,10.8,2.55
4,Harris,ORB,11.6,2.5
5,Harris,ORB,19.2,2.61
6,Harris,ORB,10.6,2.5
7,Harris,ORB,12.07,2.57
8,Harris,ORB,11.53,2.57
9,Harris,ORB,14.1,2.58
0,Harris,FREAK,17.5,29.37
1,Harris,FREAK,10.5,26.22
2,Harris,FREAK,8.2,26.64
3,Harris,FREAK,7.9,26.24
4,Harris,FREAK,8.11,27
5,Harris,FREAK,16.08,26.9
6,Harris,FREAK,7.44,26.7
7,Harris,FREAK,8.77,26.6
8,Harris,FREAK,8.09,26.7
9,Harris,FREAK,10.9,26.5
0,Harris,SIFT,19,13.2
1,Harris,SIFT,8.35,12.9
2,Harris,SIFT,10.7,13.3
3,Harris,SIFT,10.89,12.64
4,Harris,SIFT,11.72,12.73
5,Harris,SIFT,19.07,13.07
6,Harris,SIFT,10.72,12.46
7,Harris,SIFT,12.88,12.71
8,Harris,SIFT,11.56,12.92
9,Harris,SIFT,14.53,12.71
0,FAST,BRISK,3.7,3.65
1,FAST,BRISK,1.8,3.6
2,FAST,BRISK,1.7,3.2
3,FAST,BRISK,1.7,3.35
4,FAST,BRISK,1.73,2.97
5,FAST,BRISK,1.72,3.25
6,FAST,BRISK,1.73,3.18
7,FAST,BRISK,1.75,3.01
8,FAST,BRISK,1.89,2.98
9,FAST,BRISK,1.84,2.98
0,FAST,BRIEF,3.49,2.42
1,FAST,BRIEF,2.915,2.33
2,FAST,BRIEF,2.91,2.37
3,FAST,BRIEF,1.92,1.16
4,FAST,BRIEF,1.72,0.9
5,FAST,BRIEF,1.87,1.09
6,FAST,BRIEF,1.75,0.94
7,FAST,BRIEF,1.76,0.92
8,FAST,BRIEF,1.79,0.91
9,FAST,BRIEF,1.77,0.9
0,FAST,ORB,4.57,5.23
1,FAST,ORB,2.35,3.6
2,FAST,ORB,1.69,3.08
3,FAST,ORB,1.93,3.01
4,FAST,ORB,1.96,2.86
5,FAST,ORB,1.73,3
6,FAST,ORB,1.74,2.86
7,FAST,ORB,1.74,2.86
8,FAST,ORB,1.88,2.79
9,FAST,ORB,1.76,2.99
0,FAST,FREAK,8.64,45.7
1,FAST,FREAK,1.83,30.34
2,FAST,FREAK,1.78,27.99
3,FAST,FREAK,1.7,28.69
4,FAST,FREAK,1.82,28.6
5,FAST,FREAK,1.75,28.79
6,FAST,FREAK,1.87,29.03
7,FAST,FREAK,1.75,29.89
8,FAST,FREAK,1.76,28.4
9,FAST,FREAK,1.78,28.71
0,FAST,SIFT,2.85,22.11
1,FAST,SIFT,1.93,16.3
2,FAST,SIFT,2.23,16.32
3,FAST,SIFT,1.78,15.55
4,FAST,SIFT,2.44,13.81
5,FAST,SIFT,2.35,12.65
6,FAST,SIFT,1.91,15.7
7,FAST,SIFT,2.4,16.81
8,FAST,SIFT,1.94,15.1
9,FAST,SIFT,1.96,15.97
0,BRISK,BRISK,223.16,2.5
1,BRISK,BRISK,215.2,2.25
2,BRISK,BRISK,219.04,2.3
3,BRISK,BRISK,217,2.2
4,BRISK,BRISK,215.66,2.37
5,BRISK,BRISK,215.53,2.23
6,BRISK,BRISK,214.25,2.29
7,BRISK,BRISK,216.9,2.18
8,BRISK,BRISK,223.8,2.13
9,BRISK,BRISK,229.26,2.12
0,BRISK,BRIEF,231.62,1.14
1,BRISK,BRIEF,215.76,0.67
2,BRISK,BRIEF,216.04,0.67
3,BRISK,BRIEF,215,0.67
4,BRISK,BRIEF,215.93,0.7
5,BRISK,BRIEF,218.01,0.705
6,BRISK,BRIEF,218.69,0.69
7,BRISK,BRIEF,217.64,0.72
8,BRISK,BRIEF,219.61,0.67
9,BRISK,BRIEF,221.88,0.64
0,BRISK,ORB,223.48,9.29
1,BRISK,ORB,215,8.74
2,BRISK,ORB,215.44,8.81
3,BRISK,ORB,219.7,9.2
4,BRISK,ORB,217.86,9.89
5,BRISK,ORB,216.14,9.2
6,BRISK,ORB,215.05,8.9
7,BRISK,ORB,219.2,8.76
8,BRISK,ORB,216.65,9.14
9,BRISK,ORB,219.51,9.35
0,BRISK,FREAK,221.15,29.65
1,BRISK,FREAK,215.29,29.06
2,BRISK,FREAK,214.32,27.46
3,BRISK,FREAK,214.45,27.6
4,BRISK,FREAK,214.7,27.64
5,BRISK,FREAK,218.65,28.6
6,BRISK,FREAK,218.29,27.3
7,BRISK,FREAK,215.82,27.51
8,BRISK,FREAK,217.58,27.3
9,BRISK,FREAK,216.68,27.3
0,BRISK,SIFT,225.53,21.24
1,BRISK,SIFT,216.61,16.35
2,BRISK,SIFT,217.17,15.9
3,BRISK,SIFT,220.91,15.96
4,BRISK,SIFT,224.44,17.59
5,BRISK,SIFT,226.64,15.86
6,BRISK,SIFT,217.248,16.17
7,BRISK,SIFT,216.32,16.47
8,BRISK,SIFT,215.09,17.28
9,BRISK,SIFT,215.99,16.81
0,ORB,BRISK,92.3,1.3
1,ORB,BRISK,6.29,0.915
2,ORB,BRISK,5.33,0.92
3,ORB,BRISK,5.44,1.38
4,ORB,BRISK,5.37,0.98
5,ORB,BRISK,5.23,1.08
6,ORB,BRISK,5.33,1.1
7,ORB,BRISK,5.29,1.1
8,ORB,BRISK,5.94,1.13
9,ORB,BRISK,5.33,1.11
0,ORB,BRIEF,68.16,0.78
1,ORB,BRIEF,5.71,0.3
2,ORB,BRIEF,4.3,0.3
3,ORB,BRIEF,5.32,0.32
4,ORB,BRIEF,5.29,0.31
5,ORB,BRIEF,5.19,0.34
6,ORB,BRIEF,5.28,0.355
7,ORB,BRIEF,5.2,0.54
8,ORB,BRIEF,5.23,0.36
9,ORB,BRIEF,5.38,0.35
0,ORB,ORB,96.6,11.2
1,ORB,ORB,5.65,9.6
2,ORB,ORB,5.41,9.38
3,ORB,ORB,5.39,9.44
4,ORB,ORB,5.3,9.2
5,ORB,ORB,5.2,9.34
6,ORB,ORB,5.33,9.4
7,ORB,ORB,5.2,9.33
8,ORB,ORB,5.26,9.71
9,ORB,ORB,5.32,9.28
0,ORB,FREAK,84.3,29.3
1,ORB,FREAK,5.8,28.48
2,ORB,FREAK,5.2,26.9
3,ORB,FREAK,5.199,27.1
4,ORB,FREAK,5.37,26.6
5,ORB,FREAK,5.22,26.93
6,ORB,FREAK,5.2,26.71
7,ORB,FREAK,5.2,26.4
8,ORB,FREAK,5.25,26.69
9,ORB,FREAK,5.34,26.7
0,ORB,SIFT,88.1,21.5
1,ORB,SIFT,5.84,17.4
2,ORB,SIFT,5.58,18.5
3,ORB,SIFT,5.22,19.69
4,ORB,SIFT,5.2,17.3
5,ORB,SIFT,5.2,17.8
6,ORB,SIFT,5.27,19.1
7,ORB,SIFT,5.22,19.9
8,ORB,SIFT,5.86,21.3
9,ORB,SIFT,5.3,19.9
0,SIFT,BRISK,76.15,1.18
1,SIFT,BRISK,59.9,1.1
2,SIFT,BRISK,59.08,1.05
3,SIFT,BRISK,59.14,1.11
4,SIFT,BRISK,59.07,1.1
5,SIFT,BRISK,60.76,1.12
6,SIFT,BRISK,58.85,1.11
7,SIFT,BRISK,58.61,1.19
8,SIFT,BRISK,58.6,1.2
9,SIFT,BRISK,60.1,1.14
0,SIFT,BRIEF,78.127,0.61
1,SIFT,BRIEF,58.48,0.7
2,SIFT,BRIEF,57.98,0.68
3,SIFT,BRIEF,56.96,0.73
4,SIFT,BRIEF,58.05,0.79
5,SIFT,BRIEF,57.22,0.84
6,SIFT,BRIEF,57.2,0.73
7,SIFT,BRIEF,56.22,0.76
8,SIFT,BRIEF,57.7,0.83
9,SIFT,BRIEF,56.4,0.74
0,SIFT,FREAK,76.7,27.7
1,SIFT,FREAK,60.5,27.4
2,SIFT,FREAK,59.29,27.2
3,SIFT,FREAK,57.25,27.58
4,SIFT,FREAK,57.5,27.48
5,SIFT,FREAK,58.5,26.76
6,SIFT,FREAK,58.28,26.7
7,SIFT,FREAK,57.35,26.8
8,SIFT,FREAK,57.7,27.13
9,SIFT,FREAK,57.5,26.9
0,SIFT,SIFT,74.48,46.96
1,SIFT,SIFT,57.1,47.2
2,SIFT,SIFT,58.18,48.3
3,SIFT,SIFT,57.06,46.17
4,SIFT,SIFT,58.25,49.27
5,SIFT,SIFT,57.64,46.14
6,SIFT,SIFT,58.3,48.56
7,SIFT,SIFT,58.61,49.19
8,SIFT,SIFT,58.97,48.56
9,SIFT,SIFT,58.54,48.69
0,AKAZE,AKAZE,41.7,32.2
1,AKAZE,AKAZE,37.86,29.9
2,AKAZE,AKAZE,40.14,33.6
3,AKAZE,AKAZE,39.07,35.37
4,AKAZE,AKAZE,40.7,34.01
5,AKAZE,AKAZE,39.26,32.19
6,AKAZE,AKAZE,40.95,33.66
7,AKAZE,AKAZE,40.41,31.55
8,AKAZE,AKAZE,40.5,33.37
9,AKAZE,AKAZE,40.1,33.42
0,AKAZE,BRISK,42.09,1.53
1,AKAZE,BRISK,36.24,1.26
2,AKAZE,BRISK,40.48,1.3
3,AKAZE,BRISK,40.93,1.26
4,AKAZE,BRISK,43.45,1.31
5,AKAZE,BRISK,38.84,1.3
6,AKAZE,BRISK,43.66,1.37
7,AKAZE,BRISK,42.67,1.38
8,AKAZE,BRISK,39.6,1.4
9,AKAZE,BRISK,41.14,1.41
0,AKAZE,BRIEF,41.08,0.94
1,AKAZE,BRIEF,41.36,0.48
2,AKAZE,BRIEF,41.7,0.5
3,AKAZE,BRIEF,39.09,0.48
4,AKAZE,BRIEF,37.8,0.507
5,AKAZE,BRIEF,39.3,0.503
6,AKAZE,BRIEF,37.59,0.52
7,AKAZE,BRIEF,39.64,0.53
8,AKAZE,BRIEF,42.2,0.54
9,AKAZE,BRIEF,41.06,0.54
0,AKAZE,ORB,59.39,6.66
1,AKAZE,ORB,40.9,6.69
2,AKAZE,ORB,39.9,6.5
3,AKAZE,ORB,40.44,7.54
4,AKAZE,ORB,42.42,7.05
5,AKAZE,ORB,40.94,6.62
6,AKAZE,ORB,41.46,6.5
7,AKAZE,ORB,42.55,6.51
8,AKAZE,ORB,71.03,6.9
9,AKAZE,ORB,41.55,6.62
0,AKAZE,FREAK,45.13,27.775
1,AKAZE,FREAK,38.03,27.52
2,AKAZE,FREAK,40.3,27.49
3,AKAZE,FREAK,41.55,27.2
4,AKAZE,FREAK,39.6,27.28
5,AKAZE,FREAK,39.72,27
6,AKAZE,FREAK,40.9,27.27
7,AKAZE,FREAK,39.07,27.4
8,AKAZE,FREAK,39.73,27.4
9,AKAZE,FREAK,42.04,27.3
0,AKAZE,SIFT,51.6,14.37
1,AKAZE,SIFT,39.8,13.04
2,AKAZE,SIFT,38.92,13.02
3,AKAZE,SIFT,39.07,13.11
4,AKAZE,SIFT,39.01,13.03
5,AKAZE,SIFT,38.82,13.17
6,AKAZE,SIFT,38.48,13.08
7,AKAZE,SIFT,40.24,12.91
8,AKAZE,SIFT,39.79,12.88
9,AKAZE,SIFT,43.51,14.03